id,height_condition,social_framing,participant_y,participant_x,participant_z,drone_x,drone_z,drone_y,time,participant_drone_distance,velocity
25,Eye_Level,True,0,-217.5,25.5,80,0,0,4.762994,298.5909,0
25,end,True,156.5546,-193.876,27.76607,80,0,0,5.31884,316.6834,0.005683482
25,end,True,156.564,-193.7203,27.82078,80,0,0,5.555944,316.5582,0.008598291
25,end,True,156.2587,-193.4492,27.76639,80,0,0,5.805501,316.168,0.05335133
25,end,True,155.1368,-192.5484,28.33435,80,0,0,6.014611,314.8855,0.09942702
25,end,True,153.2054,-191.4174,29.37671,80,0,0,6.231477,313.0532,0.1739663
25,end,True,152.2177,-190.5169,30.6881,80,0,0,6.45984,311.9156,0.06081904
25,end,True,151.9967,-190.2635,30.75668,80,0,0,6.691726,311.5948,0.01344616
25,end,True,151.8775,-190.3151,31.01765,80,0,0,6.9285,311.6073,0.02165143
25,end,True,151.8754,-190.5955,31.14598,80,0,0,7.161943,311.8623,0.02192692
25,end,True,151.7834,-190.7014,31.14648,80,0,0,7.397551,311.9096,0.01161759
25,end,True,151.9471,-190.7525,31.19558,80,0,0,7.629435,312.0385,0.01918002
25,end,True,151.945,-190.7523,31.07547,80,0,0,7.860151,312.0253,0.01720722
25,end,True,152.2353,-190.7295,30.53308,80,0,0,8.129526,312.0935,0.0178048
25,end,True,152.3166,-190.6861,30.47351,80,0,0,8.333755,312.0896,0.007931917
25,end,True,152.2984,-190.4804,30.40883,80,0,0,8.56104,311.896,0.01364789
25,end,True,152.3601,-190.3374,30.27952,80,0,0,8.783515,311.7896,0.00711109
25,end,True,152.5024,-190.2491,30.15213,80,0,0,9.006146,311.7703,0.006936831
25,end,True,152.5414,-190.2431,30.16308,80,0,0,9.228533,311.7852,0.01349939
25,end,True,152.6266,-190.2572,30.04266,80,0,0,9.451694,311.8275,0.009030242
25,end,True,152.6243,-190.0509,30.05759,80,0,0,9.674163,311.649,0.009513945
25,end,True,152.6925,-189.7873,30.0263,80,0,0,9.896507,311.4511,0.01298939
25,end,True,152.7211,-189.6419,29.95878,80,0,0,10.11998,311.3326,0.003889157
25,end,True,152.5525,-189.8229,30.00866,80,0,0,10.34282,311.4116,0.02327026
25,end,True,151.9208,-190.0318,30.67938,80,0,0,10.56462,311.3492,0.05450972
25,end,True,151.0593,-190.0371,31.10698,80,0,0,10.78853,310.9768,0.0417695
25,end,True,150.6408,-189.998,32.03401,80,0,0,11.01168,310.8339,0.0577087
25,end,True,150.3651,-190.4319,32.91392,80,0,0,11.23371,311.1695,0.03413367
25,end,True,149.4728,-190.9873,33.0943,80,0,0,11.45666,311.2419,0.04846701
25,end,True,148.9536,-191.5092,33.10022,80,0,0,11.67847,311.4483,0.03158722
25,end,True,148.6001,-191.8723,32.89302,80,0,0,11.90258,311.5742,0.01369035
25,end,True,149.0162,-192.1135,33.69139,80,0,0,12.12486,312.0684,0.2126764
25,end,True,148.9215,-191.4773,33.74227,80,0,0,12.34412,311.4741,0.064587
25,end,True,150.3156,-190.7475,33.07518,80,0,0,12.56936,311.4369,0.06516431
25,end,True,151.1947,-189.7965,33.56705,80,0,0,12.79639,311.0896,0.0712126
25,end,True,151.6932,-189.5334,33.90023,80,0,0,12.9648,311.1404,0.03145302
25,end,True,152.5385,-189.6767,36.0977,80,0,0,13.23812,311.924,0.150335
25,end,True,152.5309,-190.9444,39.62095,80,0,0,13.46047,313.4427,0.2032873
25,end,True,151.753,-192.7998,44.03701,80,0,0,13.68454,315.2585,0.206408
25,end,True,150.0835,-195.2603,47.52887,80,0,0,13.90994,317.0998,0.2032514
25,end,True,149.0963,-198.1463,49.36062,80,0,0,14.13472,319.4237,0.1305066
25,end,True,148.2183,-199.5719,48.54152,80,0,0,14.3286,320.1334,0.08153101
25,end,True,148.5211,-199.5298,44.36085,80,0,0,14.57872,319.63,0.2295898
25,end,True,149.2824,-198.7051,38.55298,80,0,0,14.80055,318.5092,0.287848
25,end,True,149.4428,-198.2624,31.49841,80,0,0,15.02351,317.4196,0.3250587
25,end,True,149.7403,-196.5238,25.64633,80,0,0,15.24622,315.508,0.2359152
25,end,True,149.6538,-196.0877,22.95735,80,0,0,15.46969,314.8773,0.06775966
25,end,True,149.6419,-196.0294,22.7506,80,0,0,15.69255,314.8055,0.02323056
25,end,True,149.5804,-197.2927,25.22657,80,0,0,15.90196,316.0727,0.3103578
25,end,True,150.7865,-195.467,36.87242,80,0,0,16.12032,316.1933,0.6792356
25,end,True,152.6804,-186.5414,48.49653,80,0,0,16.33703,310.9783,0.6444405
25,end,True,153.8511,-178.8669,53.0609,80,0,0,16.58495,305.7739,0.1902098
25,end,True,154.3842,-179.5985,53.44691,80,0,0,16.811,306.7285,0.1730945
25,end,True,155.4975,-186.4194,48.54086,80,0,0,17.03375,312.2739,0.4502011
25,end,True,156.61,-192.1995,38.5176,80,0,0,17.27213,316.3904,0.5500926
25,end,True,157.4969,-192.9637,29.19509,80,0,0,17.50086,316.4914,0.301545
25,end,True,158.579,-192.4858,26.09672,80,0,0,17.71827,316.3492,0.06284428
25,end,True,159.2086,-190.8912,32.38042,80,0,0,17.93178,315.8764,0.4566378
25,end,True,159.6644,-184.6195,42.17516,80,0,0,18.13884,311.9214,0.5169876
25,end,True,161.0392,-174.8225,44.41894,80,0,0,18.37065,304.6985,0.4461359
25,end,True,160.5152,-169.0141,36.84853,80,0,0,18.59469,298.5481,0.4196309
25,end,True,162.4931,-163.9472,27.22425,80,0,0,18.85719,294.3728,0.493744
25,end,True,162.6524,-159.1777,20.33282,80,0,0,19.06612,289.9572,0.3137486
25,end,True,162.6255,-153.8063,20.40657,80,0,0,19.27604,285.5327,0.2708922
25,end,True,162.1957,-151.7454,26.16467,80,0,0,19.48592,284.0739,0.2812975
25,end,True,162.102,-154.8826,31.17574,80,0,0,19.69543,287.0868,0.305799
25,end,True,161.8849,-158.8688,32.30593,80,0,0,19.90639,290.3596,0.175037
25,end,True,160.121,-156.308,28.4214,80,0,0,20.17262,286.8588,0.3143389
25,end,True,160.7952,-153.9522,23.34587,80,0,0,20.3775,284.8398,0.2194494
25,end,True,161.2392,-154.8041,21.41725,80,0,0,20.58386,285.6392,0.1198781
25,end,True,160.8128,-158.5903,21.6197,80,0,0,20.79476,288.5368,0.1893271
25,end,True,161.3783,-162.6185,24.7823,80,0,0,21.00479,292.4395,0.3117812
25,end,True,162.3699,-167.3619,26.14584,80,0,0,21.2064,297.0446,0.09673799
25,end,True,161.577,-165.4253,25.20246,80,0,0,21.43333,294.9167,0.1712459
25,end,True,162.2095,-161.4688,20.94054,80,0,0,21.67594,291.6464,0.3968375
25,end,True,161.9487,-159.574,16.00982,80,0,0,21.88165,289.6194,0.1243406
25,end,True,161.7924,-160.0578,16.57669,80,0,0,22.08719,289.9643,0.1609425
25,end,True,161.7416,-162.3976,20.76579,80,0,0,22.29685,292.1441,0.1914943
25,end,True,162.2149,-166.1987,24.31391,80,0,0,22.50867,295.8355,0.2115429
25,end,True,161.8991,-165.1656,23.94232,80,0,0,22.69907,294.7724,0.1529021
25,end,True,161.4462,-161.556,19.79929,80,0,0,22.9414,291.2151,0.2135903
25,end,True,161.2679,-161.0481,17.02348,80,0,0,23.21237,290.519,0.01421921
25,end,True,160.6274,-161.8246,20.06686,80,0,0,23.42252,291.0034,0.2182318
