id,height_condition,social_framing,participant_y,participant_x,participant_z,drone_x,drone_z,drone_y,time,participant_drone_distance,velocity
11,Eye_Level,True,0,-217.5,25.5,80,0,0,5.044119,298.5909,0
11,end,True,155.9135,-215.6325,108.4972,80,0,0,5.718105,351.3961,0.0076204
11,end,True,155.8328,-215.5692,108.6036,80,0,0,5.97194,351.3399,0.007189497
11,end,True,154.6119,-216.0239,109.1544,80,0,0,6.182172,351.3541,0.1532992
11,end,True,148.6087,-217.3772,110.0885,80,0,0,6.394752,350.196,0.2505302
11,end,True,144.6598,-217.777,110.4354,80,0,0,6.608028,348.9894,0.1506145
11,end,True,142.8049,-218.0445,109.9535,80,0,0,6.847893,348.3009,0.03168029
11,end,True,142.3739,-218.1806,109.4301,80,0,0,7.077335,348.076,0.03640747
11,end,True,141.4133,-219.4301,107.5791,80,0,0,7.290228,348.18,0.2065947
11,end,True,139.0948,-221.3811,104.7184,80,0,0,7.498334,348.0573,0.1915375
11,end,True,137.572,-222.9229,103.2916,80,0,0,7.70756,348.364,0.1017583
11,end,True,136.7602,-223.659,102.0916,80,0,0,7.921261,348.3315,0.07932261
11,end,True,135.8763,-224.6366,100.7307,80,0,0,8.127209,348.443,0.1045016
11,end,True,134.6991,-225.647,99.65563,80,0,0,8.33629,348.5616,0.07417095
11,end,True,133.6218,-226.7809,98.66348,80,0,0,8.545768,348.8607,0.08825509
11,end,True,131.893,-228.4485,97.85184,80,0,0,8.755525,349.4442,0.1301466
11,end,True,129.8935,-229.8649,97.60311,80,0,0,8.964593,349.8785,0.1175752
11,end,True,128.78,-230.604,97.38075,80,0,0,9.171997,350.0602,0.06536181
11,end,True,127.6826,-231.6024,96.96907,80,0,0,9.381051,350.431,0.06335169
11,end,True,128.6338,-232.2188,97.13112,80,0,0,9.588945,351.3711,0.0660759
11,end,True,130.2947,-232.8189,96.85365,80,0,0,9.798616,352.4386,0.1537578
11,end,True,134.2768,-230.7908,95.63047,80,0,0,10.00509,351.8044,0.2607341
11,end,True,136.8341,-228.2817,96.68643,80,0,0,10.21139,350.8696,0.1481405
11,end,True,137.8371,-226.784,96.90689,80,0,0,10.42148,350.0092,0.07466806
11,end,True,137.7624,-226.4982,96.53082,80,0,0,10.62931,349.6253,0.01748882
11,end,True,138.7037,-225.3429,96.26629,80,0,0,10.83917,348.9128,0.158946
11,end,True,142.9774,-221.9333,93.83324,80,0,0,11.04806,347.0028,0.3354224
11,end,True,146.4486,-217.2672,91.65935,80,0,0,11.25431,343.8261,0.2438551
11,end,True,148.3178,-218.0605,89.7023,80,0,0,11.5025,344.7966,0.1559837
11,end,True,145.2884,-225.9709,87.83564,80,0,0,11.72245,349.9172,0.5033199
11,end,True,140.6993,-232.7822,84.09052,80,0,0,11.94383,353.1292,0.2738744
11,end,True,138.9347,-234.222,80.747,80,0,0,12.1672,352.9283,0.1552038
11,end,True,139.2556,-232.4629,78.89906,80,0,0,12.39071,351.0701,0.1329059
11,end,True,140.2983,-225.7216,78.49304,80,0,0,12.6128,345.4135,0.4339857
11,end,True,144.0198,-211.6078,79.75175,80,0,0,12.83565,334.8689,0.8790286
11,end,True,150.4097,-185.3191,86.83247,80,0,0,13.06641,317.1075,1.105534
11,end,True,151.9778,-169.3953,94.61946,80,0,0,13.26688,306.9986,0.5370763
11,end,True,148.5652,-153.7128,98.29002,80,0,0,13.54581,293.8608,0.625397
11,end,True,142.1592,-138.5019,95.38876,80,0,0,13.77509,277.5812,0.8285712
11,end,True,141.986,-116.027,86.94418,80,0,0,14.00052,257.1885,1.268137
11,end,True,147.0776,-96.35279,79.6655,80,0,0,14.22477,243.0611,0.7632016
11,end,True,147.9065,-79.95724,76.08429,80,0,0,14.44709,230.7628,0.7309215
11,end,True,147.0338,-60.85806,77.27335,80,0,0,14.67019,217.7868,0.9185251
11,end,True,148.7642,-38.64128,83.3306,80,0,0,14.89355,207.7271,1.007076
11,end,True,150.2489,-18.78262,87.93753,80,0,0,15.1188,200.1643,0.8793934
11,end,True,146.7467,3.210592,90.12142,80,0,0,15.34274,188.5552,1.054671
11,end,True,149.5236,28.26204,88.85306,80,0,0,15.56513,181.4635,1.071017
11,end,True,150.3157,50.46208,88.82442,80,0,0,15.78863,177.0793,1.058045
11,end,True,146.8302,73.39556,91.20785,80,0,0,16.01252,172.9787,1.037131
11,end,True,150.1664,98.22803,91.63734,80,0,0,16.23489,176.8604,1.106216
11,end,True,147.3248,122.9493,90.5006,80,0,0,16.45915,178.1561,1.130445
11,end,True,148.4003,147.3862,85.70508,80,0,0,16.6845,184.1437,1.081797
11,end,True,150.7955,168.9679,86.35968,80,0,0,16.90715,195.2244,0.9232972
11,end,True,146.7951,189.9277,90.95022,80,0,0,17.12998,204.7068,1.067855
11,end,True,149.7642,211.4079,95.47371,80,0,0,17.35474,220.9357,0.9907953
11,end,True,149.0713,228.5884,95.61192,80,0,0,17.55083,231.1761,0.6656278
11,end,True,147.6428,246.1628,91.00405,80,0,0,17.75951,240.1878,0.9123991
11,end,True,154.1275,261.4071,85.1869,80,0,0,17.97028,252.8253,0.6706914
11,end,True,157.3104,272.3647,81.56094,80,0,0,18.1792,261.5395,0.5102525
11,end,True,158.3081,282.1898,81.31841,80,0,0,18.38844,269.3601,0.4858125
11,end,True,157.1629,293.9861,85.48931,80,0,0,18.59939,278.9241,0.7018769
11,end,True,158.5522,306.5244,91.61223,80,0,0,18.80819,291.2815,0.6588392
11,end,True,159.5579,319.8826,95.85599,80,0,0,19.01885,303.6293,0.6461511
11,end,True,158.4597,333.2083,99.84201,80,0,0,19.22815,314.9481,0.6588967
11,end,True,158.3087,346.285,102.0571,80,0,0,19.43754,326.1672,0.6336161
11,end,True,160.1717,357.9179,105.4997,80,0,0,19.64811,337.6737,0.5201231
11,end,True,160.3141,366.386,109.5235,80,0,0,19.85538,345.9956,0.4069052
11,end,True,160.4868,371.9712,115.6257,80,0,0,20.06577,352.6649,0.3269076
11,end,True,160.1018,374.8936,120.4548,80,0,0,20.27402,356.5167,0.2183897
11,end,True,160.599,376.1466,122.762,80,0,0,20.48397,358.5601,0.1003204
11,end,True,161.5304,376.3902,123.6418,80,0,0,20.69236,359.4809,0.06065653
11,end,True,161.8909,375.8923,123.886,80,0,0,20.9016,359.317,0.0272991
11,end,True,162.1281,375.5884,124.1279,80,0,0,21.11087,359.2572,0.02862145
11,end,True,161.9986,375.4554,124.2046,80,0,0,21.3186,359.116,0.01904174
11,end,True,162.1734,375.8222,123.9467,80,0,0,21.52859,359.4075,0.03482827
