id,height_condition,social_framing,participant_y,participant_x,participant_z,drone_x,drone_z,drone_y,time,participant_drone_distance,velocity
21,Below_Eyes,False,0,-217.5,25.5,80,0,0,4.967693,298.5909,0
21,end,False,146.8948,-203.9342,5.793248,80,0,0,5.613228,319.7347,0.08433107
21,end,False,146.7604,-203.5982,5.433352,80,0,0,5.835205,319.3682,0.0443337
21,end,False,146.7758,-203.7663,5.124082,80,0,0,6.04341,319.5195,0.006923968
21,end,False,146.5768,-203.7704,5.379911,80,0,0,6.296037,319.436,0.01920468
21,end,False,146.1662,-203.3457,5.942245,80,0,0,6.546268,318.8803,0.1506358
21,end,False,145.956,-203.1419,6.376041,80,0,0,6.763524,318.6113,0.01744905
21,end,False,146.0852,-202.5382,6.838955,80,0,0,6.986262,318.1439,0.1066648
21,end,False,145.6068,-201.2849,7.523973,80,0,0,7.209286,316.8267,0.1185635
21,end,False,144.5726,-199.1181,9.175374,80,0,0,7.434782,314.4716,0.1491358
21,end,False,143.2103,-198.1429,11.72841,80,0,0,7.655252,313.0659,0.1310986
21,end,False,141.8843,-197.9191,15.14877,80,0,0,7.892414,312.4094,0.2161202
21,end,False,140.5223,-200.1342,17.21183,80,0,0,8.090763,313.8756,0.1325324
21,end,False,140.589,-203.5926,15.56725,80,0,0,8.33059,316.9106,0.2226815
21,end,False,142.7969,-207.6736,9.760888,80,0,0,8.55682,321.3135,0.3756952
21,end,False,143.9861,-213.6752,-0.9985924,80,0,0,8.785537,327.075,0.7002978
21,end,False,143.2864,-220.3553,-17.00992,80,0,0,8.996279,333.217,1.03779
21,end,False,144.206,-226.6231,-28.76166,80,0,0,9.218693,340.0593,0.4393982
21,end,False,147.2174,-233.2242,-32.51054,80,0,0,9.428123,347.6195,0.4143725
21,end,False,148.2704,-237.0407,-31.26776,80,0,0,9.640751,351.3923,0.1877196
21,end,False,148.084,-239.8228,-25.89614,80,0,0,9.850392,353.3923,0.3265496
21,end,False,147.2908,-243.9354,-21.1351,80,0,0,10.05693,356.4764,0.390102
21,end,False,145.9962,-253.0013,-17.73503,80,0,0,10.27605,364.032,0.525474
21,end,False,145.8482,-266.5163,-14.5024,80,0,0,10.49728,376.2386,0.6904768
21,end,False,147.1561,-276.8347,-12.62423,80,0,0,10.72104,386.1933,0.4073304
21,end,False,146.847,-282.1104,-10.14337,80,0,0,10.94357,390.8847,0.1650149
21,end,False,148.4388,-283.8294,-8.818764,80,0,0,11.16902,393.0442,0.2996002
21,end,False,154.8165,-289.4601,-12.55557,80,0,0,11.37614,400.7823,0.4656156
21,end,False,158.9927,-299.8963,-17.74102,80,0,0,11.59275,412.207,0.6453273
21,end,False,148.2935,-309.9739,-20.86768,80,0,0,11.8038,417.7392,0.8066243
